basin_id,tot_wu_mgd,tot_wu_percentile
301,1901.99564922,1.4355828220858895
302,1138.20845474,1.1533742331288344
304,2482.96385608,1.6196319018404908
305,5660.235760699999,1.950920245398773
306,3441.11968569,1.8282208588957056
307,959.37767873,0.9938650306748467
308,1902.77214837,1.4478527607361964
309,2813.8549689,1.7423312883435582
311,627.31043656,0.7361963190184049
313,1312.2025581999999,0.7975460122699386
314,572.2480154900001,0.9202453987730062
315,1572.07309953,1.3374233128834356
316,2113.5371972,1.50920245398773
317,725.8122169999999,0.4662576687116564
401,399.42065868000003,0.7484662576687117
403,5916.82445188,1.8895705521472392
405,3578.9638207900002,1.4846625766871167
407,922.25601493,1.1288343558282208
409,5265.85033597,1.6687116564417177
411,3899.46479972,1.7668711656441718
415,206.60310266,0.7607361963190185
501,970.54550022,0.6503067484662577
503,3468.54195737,1.803680981595092
505,653.68115918,0.4049079754601227
506,816.4341498,0.5644171779141104
507,1921.49195822,1.460122699386503
510,222.13084378000002,0.24539877300613497
511,786.51979202,0.5276073619631901
512,3817.0581234,1.8773006134969326
513,1749.6682171000002,1.3865030674846626
514,3217.92286267,1.7791411042944785
601,4593.32079942,1.852760736196319
603,5749.367850289999,1.7546012269938651
701,1302.82965752,1.165644171779141
702,263.93090706,0.15950920245398773
703,437.94282797999995,0.2331288343558282
704,1104.1064395,0.7116564417177914
706,451.15931834,0.26993865030674846
707,617.0030984,0.3558282208588957
708,1676.9475063999998,1.361963190184049
709,857.9918823,0.6012269938650306
710,177.34730984,0.08588957055214724
711,821.02782468,0.5766871165644172
712,4797.090599900001,1.5828220858895705
713,3362.0596717999997,1.3742331288343559
714,3306.7721435500002,1.7914110429447854
801,1202.1600698,1.4233128834355828
802,10321.35247759,2
803,2018.37227721,1.4723926380368098
804,1086.8828954,1.3496932515337423
805,1135.6956360499998,0.8098159509202454
807,5055.21607754,1.9754601226993864
808,2489.8428733,1.6319018404907975
901,33.396955919999996,0.012269938650306749
902,209.85654424,0.36809815950920244
903,250.89108281,0.13496932515337423
1002,2110.67719171,1.0797546012269938
1003,1434.29010338,1.2269938650306749
1004,925.62290952,0.9693251533742331
1005,760.7377007,0.49079754601226994
1006,430.86458197999997,0.22085889570552147
1007,1827.87735651,0.9570552147239264
1008,2391.51735145,1.116564417177914
1009,830.7945409,0.9079754601226994
1010,672.48405031,0.4171779141104294
1011,271.79160806,0.31901840490797545
1012,267.18708919,0.294478527607362
1013,995.70292095,1.2760736196319018
1014,100.68133227999999,0.11042944785276074
1015,509.63996258000003,0.2822085889570552
1016,108.3253188,0.049079754601226995
1017,293.95830512,0.3312883435582822
1018,3513.2622865999997,1.3987730061349692
1019,2124.166908,1.0920245398773005
1020,1572.0176924799998,1.3251533742331287
1021,1016.1289286,0.6625766871165644
1022,2628.204601,1.177914110429448
1024,2245.9228017,1.1042944785276074
1025,2006.1753598,1.0552147239263803
1026,393.8277397,0.2085889570552147
1027,1535.50461618,1.3006134969325154
1028,457.47949576,0.6134969325153374
1029,1225.8185291200002,1.1411042944785277
1030,1787.86820565,1.4110429447852761
1101,1901.9067083,0.9815950920245399
1102,1506.1670474,0.8834355828220859
1103,1362.9499093999998,0.8343558282208589
1104,1081.3781753199999,0.6993865030674846
1105,260.14173425,0.147239263803681
1107,561.01187587,0.7239263803680982
1108,118.41582942,0.06134969325153374
1109,697.95258222,0.8588957055214724
1110,1376.8536804500002,1.4969325153374233
1111,1507.53557722,1.2883435582822085
1112,675.6094673900001,1.0674846625766872
1113,432.99452508,0.7852760736196319
1114,1871.53643155,1.7300613496932515
1201,1981.30525565,1.0429447852760736
1203,2771.51921806,1.7177914110429449
1205,1255.74063679,0.7730061349693251
1206,2363.6062299399996,1.5705521472392638
1207,2352.4041242000003,1.5582822085889572
1208,787.73510321,0.5398773006134969
1209,1101.69446742,1.521472392638037
1210,1685.79701109,1.8159509202453987
1211,881.84633156,0.9447852760736196
1301,1374.378254,0.8466257668711656
1302,667.26689504,0.8220858895705522
1303,523.2379786,0.6871165644171779
1304,263.27567531,0.5521472392638037
1305,278.81121,0.17177914110429449
1306,449.6900065,0.25766871165644173
1307,302.49178925,0.18404907975460122
1308,95.18693471,0.03680981595092025
1401,2890.27505329,1.2515337423312884
1403,651.18170815,0.39263803680981596
1404,1434.73049992,1.2392638036809815
1405,705.15562515,0.44171779141104295
1406,779.7589498899999,0.5030674846625767
1407,175.71087021,0.0736196319018405
1408,869.66224974,0.9325153374233128
1501,540.3915196,0.3067484662576687
1502,87.18402158,0.024539877300613498
1503,1455.2604686700001,1.2638036809815951
1504,310.94642899999997,0.19631901840490798
1505,1519.6898855999998,1.5337423312883436
1506,462.35686237999994,0.6257668711656442
1507,2511.6472667,1.6441717791411044
1508,224.83184178,0.4294478527607362
1601,3636.79402771,1.9141104294478528
1603,749.9128596,0.4785276073619632
1604,972.9542342,1.01840490797546
1605,653.31520549,1.030674846625767
1606,780.2395512,0.5153374233128835
1701,1806.58237885,1.6932515337423313
1702,1527.7227345000001,0.8957055214723927
1703,637.3005221999999,0.3803680981595092
1704,11686.2271853,1.9877300613496933
1705,4699.64391861,1.9263803680981595
1706,1627.6053823700001,1.607361963190184
1707,1772.14340743,1.6809815950920246
1708,1925.0770866,1.0061349693251533
1710,1023.95956164,1.312883435582822
1711,846.3984055999999,0.588957055214724
1712,713.1905707000001,0.4539877300613497
1801,1328.6357378,1.2147239263803682
1802,6037.55150299,1.9631901840490797
1803,4821.46078,1.5950920245398772
1804,5462.887419,1.705521472392638
1805,1043.9876548,0.6748466257668712
1806,608.116731,0.34355828220858897
1807,2368.4371374,1.8404907975460123
1809,1325.27560029,1.2024539877300613
1810,2592.7587082,1.656441717791411
